Player,TEAM,AB,Hits,Runs,RBI,1B,2B,3B,HR,BB,BA,OBP,SLG,OPS,MG,,TEAM,GP,AB,Hits,Runs,RBI,1B,2B,3B,HR,BB,BA,OBP,SLG,OPS,MG
PHIL CORDE,BK,3,3,1,1,1,1,0,1,1,1.000,1.000,2.333,3.333,,,1-KLESHINSKY,22,940,390,208,201,300,63,10,16,58,0.415,0.449,0.553,1.002,25
NICK TURANO,MG,75,50,44,26,21,23,0,6,9,0.667,0.702,1.213,1.916,1,,2-ROSENSTOCK,22,983,455,303,282,348,57,26,23,82,0.463,0.504,0.643,1.147,29
MARTIN BLACKBURN,BK,83,55,50,27,22,25,1,7,14,0.663,0.711,1.241,1.952,0,,3-PINGARO,22,939,387,215,207,327,37,12,11,43,0.412,0.438,0.512,0.950,10
DENNIS OCONNOR,FL,80,53,46,52,26,16,6,5,6,0.663,0.686,1.200,1.886,0,,4-BOMENBLIT,22,872,335,177,170,269,48,11,7,57,0.384,0.422,0.489,0.910,27
RYAN AMATO,GM,81,53,34,36,23,23,1,6,10,0.654,0.692,1.185,1.877,0,,5-LOMBARDI,22,893,373,193,192,316,33,14,8,43,0.418,0.444,0.511,0.955,38
ERIC BECKER,AG,82,52,29,45,42,3,0,7,7,0.634,0.663,0.927,1.590,0,,6-CONTI,22,906,353,189,184,290,33,15,14,75,0.390,0.436,0.504,0.941,25
MIKE SANTAROMITA,SD,70,44,37,34,24,9,3,8,16,0.629,0.698,1.186,1.883,3,,7-POLZER,22,898,360,173,149,310,36,8,6,40,0.401,0.426,0.479,0.905,20
JOEL ZARETSKY,FL,70,43,22,42,30,10,1,2,7,0.614,0.649,0.871,1.521,1,,8-LAROCCA,22,913,433,271,251,333,69,21,10,64,0.474,0.509,0.629,1.137,25
COLE FLUTA,AG,72,44,41,25,29,12,1,2,7,0.611,0.646,0.889,1.534,4,,9-WALLMAN,22,885,355,180,172,303,30,9,13,45,0.401,0.430,0.499,0.930,26
PHIL SAGLIETTO,ER,82,50,45,26,32,9,2,7,13,0.610,0.663,1.024,1.688,1,,10-GOLDFARB,22,950,426,260,251,340,55,14,18,79,0.448,0.491,0.594,1.084,24
NICK MARTINO,FL,89,54,46,21,32,14,6,2,3,0.607,0.620,0.966,1.586,0,,11-BYKOFSKY,22,924,394,239,201,329,43,11,11,44,0.426,0.452,0.532,0.695,25
JOE CAPUTO,DM,73,44,26,15,40,4,0,0,7,0.603,0.638,0.658,1.295,1,,12-GODDARD,22,927,395,243,234,292,71,14,18,81,0.426,0.472,0.591,1.208,12
DARREN SALER,MG,69,41,32,36,28,10,0,3,11,0.594,0.650,0.870,1.520,1,,13-CARROLL,22,924,360,200,187,272,46,19,23,46,0.390,0.419,0.555,0.974,16
CHASE SANDLER,TW,76,45,37,31,27,9,2,7,8,0.592,0.631,1.039,1.670,0,,14-DRASHINSKY,22,949,385,228,212,313,44,14,15,52,0.406,0.437,0.530,0.967,35
DAVID VIGNAPIANO,BK,77,45,28,47,25,14,1,5,6,0.584,0.614,0.987,1.601,1,,15-MEYER,22,927,378,213,202,302,44,23,9,45,0.408,0.435,0.534,0.786,16
STEVEN SANTIGATE,DP,77,45,27,26,36,3,4,2,5,0.584,0.610,0.805,1.415,0,,16-KESSLER,22,933,369,221,197,273,69,8,19,49,0.395,0.426,0.548,0.973,37
